cust_id,P(Purchase),PSIM,cust_type
74329710,1,0.697623781,Target
35199607,1,0.67213315,Target
30379793,1,0.666959568,Target
20049997,1,0.663870769,Target
19229946,1,0.661900248,Target
59759975,1,0.661203527,Target
75919735,1,0.660966143,Target
65979993,1,0.660259224,Target
41029953,1,0.66017195,Target
38789712,1,0.65960217,Target
76579825,1,0.654840481,Target
63779936,1,0.654615852,Target
69209817,1,0.650599013,Target
72759832,1,0.648654103,Target
81909565,1,0.645733136,Target
63739689,1,0.64536784,Target
89549991,1,0.643623345,Target
36429826,1,0.641760846,Target
40139886,0.999999994,0.640940269,Target
16269610,1,0.640467753,Target
69389918,1,0.638447661,Target
62829619,1,0.635427119,Target
28049788,1,0.632096904,Target
14509826,1,0.63188633,Target
289996,1,0.631321095,Target
74089696,1,0.63115705,Target
74849831,0.999889297,0.630891856,Target
52089826,1,0.63036474,Target
92309822,1,0.627337881,Target
28889895,1,0.622276028,Target
92139922,1,0.62105002,Target
48819714,1,0.619340021,Target
65179986,1,0.619298063,Target
72969591,1,0.61858372,Target
99569634,1,0.617949013,Target
90639982,1,0.615964886,Target
37989556,1,0.615842607,Target
20779661,1,0.61479436,Target
71399913,1,0.614640416,Target
33169596,1,0.61413317,Target
92689781,1,0.613995841,Target
48829987,1,0.613361631,Target
88409976,1,0.611632144,Target
81879929,1,0.610632358,Target
16269899,1,0.607907916,Target
95029657,1,0.607597179,Target
76369975,1,0.605001179,Target
88019604,1,0.604482998,Target
7349772,1,0.604421122,Target
44349990,1,0.603457258,Target
75549816,1,0.603127774,Target
22639828,1,0.601280506,Target
10279902,0.816728696,0.600540326,Target
16379814,1,0.600066206,Target
21439812,1,0.599177973,Target
92619600,1,0.59871445,Target
41009992,1,0.595731286,Target
54339975,1,0.594096674,Target
87959993,1,0.593128161,Target
80209969,1,0.592952196,Target
78539992,1,0.5920686,Target
79259680,1,0.592059639,Target
92629572,1,0.589812019,Target
31529975,1,0.587524955,Target
25509840,1,0.585294959,Target
18259955,1,0.585133991,Target
71799691,1,0.585040428,Target
54779807,1,0.584870848,Target
65049997,1,0.584346758,Target
289975,1,0.584255971,Target
91639971,1,0.584050243,Target
5369881,1,0.584037888,Target
50389832,1,0.583920316,Target
4109594,1,0.582949887,Target
71809833,1,0.582824913,Target
7249820,1,0.582229806,Target
46349979,1,0.5820529,Target
64699907,1,0.580377578,Target
85399739,1,0.580082009,Target
38609970,1,0.580056925,Target
51529943,1,0.579982687,Target
50219938,1,0.57869275,Target
1459955,1,0.57700907,Target
26439761,1,0.576874982,Target
13559676,1,0.57653525,Target
81439559,1,0.575837906,Target
33419626,1,0.575784522,Target
48419753,1,0.57466169,Target
58069679,1,0.573888316,Target
49969850,1,0.573065182,Target
1209903,1,0.571909744,Target
21619611,1,0.571454857,Target
44969803,1,0.569029704,Target
94629802,1,0.568904503,Target
45229831,1,0.568374499,Target
76089937,1,0.567790086,Target
67889974,1,0.567724842,Target
22079990,1,0.567691141,Target
43209587,1,0.566825746,Target
12929901,1,0.56670508,Target
88699787,1,0.565684962,Target
63039914,1,0.565107927,Target
3789517,1,0.564949821,Target
32429846,1,0.564841166,Target
14669762,1,0.564830189,Target
97889831,1,0.564377814,Target
6409830,1,0.564124384,Target
20519831,1,0.564023643,Target
609815,1,0.562867583,Target
29049955,1,0.562663939,Target
83639755,1,0.562607203,Target
36829591,1,0.562588961,Target
48929631,1,0.562541552,Target
18369988,1,0.562138168,Target
38329808,1,0.561935417,Target
89449594,1,0.561862098,Target
93929673,1,0.561771744,Target
45029889,1,0.56175918,Target
84359863,1,0.560666806,Target
55529829,1,0.560307228,Target
58139872,1,0.559554976,Target
19109770,1,0.558965756,Target
80089813,1,0.558945906,Target
36389983,1,0.558783347,Target
59869621,1,0.558081309,Target
81259764,1,0.557152562,Target
81609864,1,0.557017032,Target
91719646,1,0.556164341,Target
57399861,1,0.555995198,Target
90039584,1,0.554350903,Target
70059863,1,0.553794183,Target
68909737,1,0.553511145,Target
38229815,1,0.553392812,Target
56379915,1,0.55255421,Target
35929946,1,0.551882773,Target
74879910,1,0.550986815,Target
17829579,1,0.550877642,Target
66099545,1,0.550765902,Target
85259753,1,0.55002479,Target
53709984,1,0.550023791,Target
96279994,1,0.548504318,Target
15169906,1,0.548270609,Target
54519800,1,0.547847007,Target
49459807,0.999999997,0.547690398,Target
75429620,1,0.54736669,Target
2619622,1,0.547342503,Target
18519751,1,0.547251874,Target
68289745,1,0.546721339,Target
15479797,1,0.545957838,Target
28149595,1,0.545432389,Target
69239726,1,0.545010867,Target
26619784,1,0.544540549,Target
33109819,1,0.544225752,Target
79799813,1,0.544205448,Target
86509985,1,0.54355444,Target
7189760,1,0.54341996,Target
92719644,1,0.542652457,Target
75829901,1,0.54242946,Target
22119614,1,0.541300646,Target
70599860,1,0.540222325,Target
52609878,1,0.540180294,Target
32239645,1,0.539725206,Target
56779976,1,0.539670306,Target
3739829,1,0.539196185,Target
3919795,1,0.538889702,Target
9019954,1,0.538629479,Target
93069776,1,0.538071916,Target
52189993,1,0.537614866,Target
41579936,1,0.53730187,Target
99259910,1,0.537195026,Target
21309958,1,0.535722414,Target
44029996,1,0.535596813,Target
28879854,1,0.535076698,Target
29019995,1,0.5349985,Target
79809829,1,0.534568685,Target
11819644,1,0.534423806,Target
97809684,1,0.532740059,Target
10359797,1,0.532300951,Target
94149747,1,0.532294525,Target
8639635,1,0.531920917,Target
8829778,1,0.531438172,Target
99519944,1,0.531165903,Target
83979666,1,0.53058354,Target
55289819,0.999999984,0.530536594,Target
23009992,1,0.530468819,Target
50099729,1,0.530203434,Target
14719716,1,0.52986449,Target
69919605,1,0.529755354,Target
41769844,1,0.529522587,Target
31889912,1,0.528685447,Target
35209950,1,0.528495926,Target
39139826,1,0.528392543,Target
64249721,1,0.528384427,Target
61499829,1,0.528170603,Target
30329827,1,0.527129076,Target
18129815,1,0.526854025,Target
9749794,1,0.526637932,Target
64829730,1,0.526345283,Target
71669958,1,0.525571083,Target
64749986,1,0.52499646,Target
42469797,1,0.524919541,Target
62039661,1,0.524434573,Target
72739761,0.997329622,0.524191556,Target
36569809,1,0.523829263,Target
37359574,1,0.52364352,Target
31929940,1,0.521002227,Target
95919954,1,0.520946501,Target
93349625,1,0.520590401,Target
90459982,1,0.520121303,Target
46439894,1,0.519762528,Target
82629825,1,0.519670895,Target
40809617,1,0.519568077,Target
7329826,1,0.519359129,Target
48769937,1,0.519297535,Target
73619899,1,0.518950063,Target
95299609,1,0.51806922,Target
63399975,1,0.518068603,Target
33099958,1,0.517920813,Target
18979976,1,0.517824975,Target
71829568,1,0.517347715,Target
45379982,1,0.517284356,Target
80929858,1,0.517219165,Target
73579859,1,0.516953711,Target
8279980,1,0.516919374,Target
96559580,1,0.516417905,Target
26609625,1,0.515932328,Target
85969765,1,0.51562185,Target
7389984,1,0.515210792,Target
2689745,1,0.514946846,Target
98119644,1,0.513861371,Target
8209651,1,0.513857171,Target
1979644,1,0.513154411,Target
90839815,1,0.513064171,Target
37529902,1,0.513045347,Target
22729922,1,0.512976343,Target
9739628,1,0.512967846,Target
13439985,1,0.51294044,Target
34639982,1,0.512657611,Target
99199851,1,0.510425755,Target
5019544,1,0.510129027,Target
20939796,1,0.509688277,Target
93979814,1,0.509367701,Target
10319811,1,0.509262025,Target
20129679,1,0.508778393,Target
69839807,1,0.508774926,Target
32899755,1,0.508601455,Target
71819885,1,0.507855786,Target
83199794,1,0.507518086,Target
66929615,1,0.507510559,Target
11379727,1,0.507352924,Target
95529877,1,0.506431951,Target
80089949,1,0.506222476,Target
55329632,1,0.505907851,Target
62379912,0.999999999,0.505540324,Target
91489936,1,0.504974867,Target
33369963,1,0.504910531,Target
44109785,1,0.504438571,Target
28109611,1,0.504142329,Target
79719896,1,0.503985911,Target
26169856,1,0.503705766,Target
69799994,1,0.503059261,Target
67529820,1,0.502747954,Target
83679955,1,0.502537737,Target
76579556,1,0.502472895,Target
23259899,1,0.502266764,Target
45409661,1,0.501599161,Target
84789919,1,0.501583204,Target
61339938,1,0.500913322,Target
139662,1,,Baseline
459915,1,,Baseline
7529982,1,,Baseline
9439552,1,,Baseline
15259989,1,,Baseline
16189799,0.212334485,,Baseline
17199977,3.14E-52,,Baseline
17809672,1,,Baseline
17849812,1,,Baseline
19379606,1,,Baseline
19789898,1,,Baseline
22219604,1,,Baseline
23149973,0.000561842,,Baseline
23569586,1.24E-270,,Baseline
25459825,1,,Baseline
26589855,4.06E-175,,Baseline
26949543,1,,Baseline
28389996,4.90E-175,,Baseline
29119924,1,,Baseline
31319598,0,,Baseline
33269822,1,,Baseline
35019716,1,,Baseline
36429784,7.25E-44,,Baseline
36549947,1,,Baseline
36929595,1,,Baseline
37589967,1,,Baseline
38549892,1,,Baseline
40419707,1,,Baseline
41739754,1,,Baseline
46149799,1,,Baseline
46539873,1,,Baseline
48159996,1,,Baseline
50799826,1,,Baseline
54359747,1,,Baseline
54449732,0,,Baseline
54489828,1,,Baseline
54689670,1,,Baseline
54929978,1,,Baseline
58879816,1,,Baseline
59499924,1,,Baseline
59719949,1,,Baseline
60489894,3.92E-129,,Baseline
61889833,1,,Baseline
62129758,1,,Baseline
64309818,1,,Baseline
65769896,1,,Baseline
65849722,1,,Baseline
66079851,1,,Baseline
67619735,1,,Baseline
68009981,1,,Baseline
68589756,1,,Baseline
69379845,1,,Baseline
71969753,1,,Baseline
72819768,1.87E-137,,Baseline
72919657,0,,Baseline
73119924,1,,Baseline
73189903,1,,Baseline
73299659,1,,Baseline
73559939,1,,Baseline
75129816,1,,Baseline
75169913,2.80E-158,,Baseline
76379976,1,,Baseline
78869922,1,,Baseline
80069689,4.50E-116,,Baseline
80219994,0,,Baseline
80999929,1,,Baseline
82059815,1.67E-55,,Baseline
82569822,1,,Baseline
83439608,9.59E-36,,Baseline
84249964,1,,Baseline
86409806,1,,Baseline
87979989,1,,Baseline
90429998,1,,Baseline
91449931,1,,Baseline
92809817,1,,Baseline
92869591,1,,Baseline
95849895,1,,Baseline
96529653,1,,Baseline
99119952,1,,Baseline
99309885,1,,Baseline
189709,1,,Baseline
5209899,1.46E-112,,Baseline
6899618,1,,Baseline
7949789,1,,Baseline
10279937,1,,Baseline
12189899,1,,Baseline
12949792,1,,Baseline
13739653,1,,Baseline
13979913,1,,Baseline
15149982,1,,Baseline
15399932,1,,Baseline
16659749,1,,Baseline
16899629,0,,Baseline
17889567,1,,Baseline
18909750,1,,Baseline
19259971,1,,Baseline
19909679,1,,Baseline
20559593,1,,Baseline
21619825,1,,Baseline
22149817,1,,Baseline
24469982,1,,Baseline
25579896,1,,Baseline
29579772,1,,Baseline
30309665,1,,Baseline
30419656,0.976705531,,Baseline
30669825,4.57E-303,,Baseline
31429680,5.39E-17,,Baseline
33039976,1,,Baseline
44209904,1.97E-185,,Baseline
45729602,1,,Baseline
46169997,1,,Baseline
46859803,1,,Baseline
48909989,1,,Baseline
53179975,0,,Baseline
59239994,4.89E-112,,Baseline
59369945,1,,Baseline
61939986,1,,Baseline
63879957,1,,Baseline
66959841,2.27E-186,,Baseline
68299894,1,,Baseline
70669917,3.00E-179,,Baseline
71149962,1,,Baseline
72739881,5.42E-172,,Baseline
78669628,1,,Baseline
79129939,1,,Baseline
84389796,1,,Baseline
84559997,1,,Baseline
87489615,1,,Baseline
90599963,1,,Baseline
92259554,1,,Baseline
94089962,1,,Baseline
94789789,1,,Baseline
99349663,1,,Baseline
5839958,1.16E-65,,Baseline
9299898,1,,Baseline
9909817,1,,Baseline
10269678,1.68E-173,,Baseline
12389800,1,,Baseline
14029845,1,,Baseline
14459738,1.69E-102,,Baseline
17709958,1,,Baseline
17959971,0.999869715,,Baseline
19119914,0.000489996,,Baseline
21579922,1,,Baseline
28029784,1,,Baseline
34219942,1,,Baseline
34709739,1,,Baseline
38709981,1,,Baseline
41829882,1,,Baseline
43359832,1,,Baseline
43519730,1,,Baseline
43769997,1,,Baseline
44709994,1,,Baseline
48549830,1,,Baseline
50639809,1,,Baseline
57669579,1,,Baseline
58159515,1,,Baseline
60609935,1,,Baseline
64779718,1,,Baseline
66199904,1,,Baseline
67829997,1,,Baseline
71269983,5.62E-244,,Baseline
74909637,5.28E-155,,Baseline
76429997,1,,Baseline
76819747,1,,Baseline
80069965,1,,Baseline
80179655,1,,Baseline
81159947,1,,Baseline
81699571,8.09E-117,,Baseline
86579812,1,,Baseline
90739747,1,,Baseline
92159812,1.17E-265,,Baseline
94109834,9.53E-221,,Baseline
94919926,1,,Baseline
96449957,7.46E-66,,Baseline
98919793,1,,Baseline
99439891,1,,Baseline
1839834,1,,Baseline
3489804,1,,Baseline
4959859,6.08E-147,,Baseline
5039834,1,,Baseline
5059954,1,,Baseline
7889790,0,,Baseline
8809967,1.56E-256,,Baseline
9519528,0,,Baseline
11609822,1,,Baseline
20549815,1,,Baseline
20859731,1,,Baseline
20889964,1,,Baseline
21319608,1,,Baseline
25059811,3.75E-99,,Baseline
26159689,1,,Baseline
26449934,3.65E-87,,Baseline
27149825,1,,Baseline
27249963,1,,Baseline
27569750,1,,Baseline
30439747,5.87E-117,,Baseline
31119816,1,,Baseline
32299809,1.73E-197,,Baseline
32489866,1,,Baseline
38139638,1,,Baseline
39279924,1,,Baseline
41269966,0,,Baseline
43629876,2.39E-70,,Baseline
45029977,1,,Baseline
45719537,0,,Baseline
45809866,1,,Baseline
46139968,1,,Baseline
48729999,1,,Baseline
50709851,3.31E-36,,Baseline
54509624,1,,Baseline
57619972,1.55E-117,,Baseline
58199854,1.95E-42,,Baseline
59179928,1,,Baseline
59599598,1,,Baseline
60069975,1,,Baseline
64449830,1,,Baseline
64929903,1.09E-101,,Baseline
67949591,0,,Baseline
69509749,1,,Baseline
69679884,1,,Baseline
71809778,1,,Baseline
74249611,1,,Baseline
75559630,1,,Baseline
76499800,1,,Baseline
77879888,4.44E-31,,Baseline
78359952,1,,Baseline
79999656,1,,Baseline
80129666,0,,Baseline
80399571,1,,Baseline
80539808,1,,Baseline
82669849,1,,Baseline
83019923,1,,Baseline
83929977,1,,Baseline
87459819,6.01E-79,,Baseline
88439633,0,,Baseline
89439828,1,,Baseline
90189703,1,,Baseline
90859781,9.97E-70,,Baseline
93869930,1,,Baseline
97999975,1,,Baseline
99079795,1,,Baseline
1229691,1,,Baseline
6069830,1,,Baseline
11889976,1,,Baseline
12129579,2.57E-307,,Baseline
13319547,1,,Baseline
20179636,1,,Baseline
20219866,9.40E-79,,Baseline
20319699,1,,Baseline
31069959,1,,Baseline
32229986,1,,Baseline
39929975,1,,Baseline
40209992,0,,Baseline
45289949,1,,Baseline
46719931,1,,Baseline
47409814,1,,Baseline
51359725,1,,Baseline
59719854,1.14E-182,,Baseline
60549992,1,,Baseline
66579988,7.66E-87,,Baseline
68639606,1,,Baseline
75989819,1,,Baseline
77129998,1,,Baseline
78889809,3.70E-154,,Baseline
81239800,1,,Baseline
82799808,1,,Baseline
83469980,1.43E-54,,Baseline
86959976,1,,Baseline
98939585,0,,Baseline
19489870,1,,Baseline
30199747,1,,Baseline
31079582,1,,Baseline
32479788,1,,Baseline
41679950,1,,Baseline
42789969,1,,Baseline
43349579,1,,Baseline
44829828,1,,Baseline
46899781,1,,Baseline
51589608,1,,Baseline
51739733,1,,Baseline
55219676,1.35E-122,,Baseline
69919763,1,,Baseline
73009929,1.15E-245,,Baseline
75589877,1,,Baseline
76279822,1,,Baseline
76460000,1,,Baseline
84949990,1,,Baseline
88939693,1,,Baseline
93999650,1,,Baseline
94899681,1,,Baseline
99229897,1,,Baseline
22619950,0,,Baseline
25979879,1,,Baseline
29759870,1,,Baseline
38959697,1,,Baseline
55699764,1,,Baseline
61049610,4.90E-205,,Baseline
68549958,1,,Baseline
71679855,3.37E-160,,Baseline
99099906,8.74E-272,,Baseline
15469869,1,,Baseline
22849998,1,,Baseline
30789712,2.91E-187,,Baseline
42569792,8.62E-16,,Baseline
48439936,1,,Baseline
48479522,9.05E-62,,Baseline
51839574,1,,Baseline
52969816,4.11E-42,,Baseline
60319729,1.38E-14,,Baseline
61529579,1,,Baseline
67779997,1,,Baseline
73839831,1.66E-215,,Baseline
77089648,1,,Baseline
78549981,8.34E-148,,Baseline
89869771,1,,Baseline
90829769,1,,Baseline
99069931,4.03E-126,,Baseline
1819868,1,,Baseline
4529875,1.64E-165,,Baseline
7399797,1,,Baseline
12109797,1,,Baseline
13029625,1,,Baseline
30429758,1.31E-278,,Baseline
39489900,1.46E-184,,Baseline
50629997,1,,Baseline
54679990,1,,Baseline
74379662,1,,Baseline
17599817,1,,Baseline
20659743,0,,Baseline
39789916,1.44E-212,,Baseline
58199923,0,,Baseline
66979624,5.45E-10,,Baseline
68389615,2.07E-65,,Baseline
89339863,1,,Baseline
99649638,1,,Baseline
8409818,1,,Baseline
19379563,1,,Baseline
50999984,1,,Baseline
58719644,1,,Baseline
72509958,1,,Baseline
109693,1,,Baseline
1799957,1.12E-193,,Baseline
8679783,1,,Baseline
17619860,1.33E-185,,Baseline
21529951,1,,Baseline
29929667,1,,Baseline
32679949,1,,Baseline
36029888,1.31E-87,,Baseline
50399809,1,,Baseline
60969802,1,,Baseline
71079980,1,,Baseline
71399729,1,,Baseline
98759705,1,,Baseline
499639,1,,Baseline
4459947,1,,Baseline
4679726,1,,Baseline
7609764,1,,Baseline
19369626,1,,Baseline
23839751,1,,Baseline
29779654,1,,Baseline
33079933,1,,Baseline
41019665,1,,Baseline
57149797,1,,Baseline
66449663,1,,Baseline
75329669,1,,Baseline
76079978,1,,Baseline
85589964,1,,Baseline
85599689,1,,Baseline
86979906,1,,Baseline
97939915,1.11E-176,,Baseline
339918,9.87E-214,,Baseline
3629937,1,,Baseline
4179994,8.30E-54,,Baseline
5279820,1,,Baseline
8069572,1,,Baseline
11109830,1,,Baseline
11349754,4.87E-98,,Baseline
16739664,1,,Baseline
18939947,1,,Baseline
19069859,1,,Baseline
19919796,1,,Baseline
24319826,1,,Baseline
30199820,1,,Baseline
30349833,1,,Baseline
31419977,1,,Baseline
33139747,0,,Baseline
34449789,0,,Baseline
37289741,1,,Baseline
37589569,1,,Baseline
38369898,1,,Baseline
38999517,1.31E-284,,Baseline
45669818,1,,Baseline
46409826,1,,Baseline
51389657,1,,Baseline
53649964,1,,Baseline
58399959,1,,Baseline
58439884,5.09E-176,,Baseline
60389566,0,,Baseline
61259904,1,,Baseline
64229824,7.59E-131,,Baseline
72859797,5.08E-63,,Baseline
75939834,1,,Baseline
76539923,1,,Baseline
78029849,1,,Baseline
80439984,1,,Baseline
84589606,0,,Baseline
91599814,1,,Baseline
93059807,1,,Baseline
98069818,1,,Baseline
98909970,0,,Baseline
99189821,0,,Baseline
15619808,1,,Baseline
29769913,1,,Baseline
42739861,8.28E-247,,Baseline
49309853,1,,Baseline
15239877,1,,Baseline
34669973,1,,Baseline
49249557,1,,Baseline
80089936,1,,Baseline
91059640,1,,Baseline
97989982,1,,Baseline
7789800,1,,Baseline
29559815,1,,Baseline
98309933,1,,Baseline
98629943,4.86E-167,,Baseline
4369928,2.56E-124,,Baseline
18409719,1,,Baseline
53769798,1,,Baseline
60239738,1,,Baseline
73939679,1,,Baseline
83779678,0,,Baseline
92209947,1,,Baseline
97309726,1,,Baseline
3009958,1,,Baseline
16129830,1.65E-211,,Baseline
19729643,1.18E-173,,Baseline
23629613,1,,Baseline
30469807,1,,Baseline
31629879,1,,Baseline
39789826,1.46E-42,,Baseline
63569918,1,,Baseline
75939806,1,,Baseline
77839753,1,,Baseline
85019945,1,,Baseline
87749662,1,,Baseline
88829796,1,,Baseline
6599998,1,,Baseline
8229636,1,,Baseline
15009953,1,,Baseline
23989928,0,,Baseline
41399849,0,,Baseline
71819962,1,,Baseline
77569887,1,,Baseline
77869988,1,,Baseline
89159772,0,,Baseline
3179779,1,,Baseline
70789997,1,,Baseline
91729619,0,,Baseline
96509803,1,,Baseline
28199726,1,,Baseline
14809603,4.68E-288,,Baseline
21569591,1,,Baseline
21589742,1,,Baseline
26699963,1,,Baseline
27059851,1,,Baseline
34189966,1.02E-156,,Baseline
40309538,1,,Baseline
45489884,1,,Baseline
51719995,1,,Baseline
63579949,1,,Baseline
74759921,7.20E-232,,Baseline
82069956,1,,Baseline
87359769,1,,Baseline
95899598,3.55E-182,,Baseline
58199914,1,,Baseline
38599801,7.47E-303,,Baseline
45089965,1,,Baseline
859909,1.90E-93,,Baseline
28049977,0,,Baseline
77899670,7.03E-57,,Baseline
78849735,2.17E-78,,Baseline
99039751,1,,Baseline
19429797,0,,Baseline
50609992,1,,Baseline
37549587,1,,Baseline
39919957,1,,Baseline
48939983,5.00E-68,,Baseline
62209651,1,,Baseline
64959795,1,,Baseline
65429891,1,,Baseline
70589893,2.02E-147,,Baseline
72699827,1.78E-281,,Baseline
84769937,1,,Baseline
97279893,1,,Baseline
22889812,1.66E-96,,Baseline
56129832,0.999985322,,Baseline
56229619,1,,Baseline
20129953,1,,Baseline
25619933,1,,Baseline
28969931,1,,Baseline
43579989,6.31E-153,,Baseline
86899624,1,,Baseline
11619982,1,,Baseline
27619972,0,,Baseline
48379629,1,,Baseline
60279873,1,,Baseline
11699660,1.17E-254,,Baseline
92049834,0,,Baseline
19039659,1,,Baseline
56719714,1,,Baseline
65239815,1,,Baseline
70189834,1,,Baseline
74859553,1,,Baseline
76819950,1.19E-170,,Baseline
85799895,4.87E-148,,Baseline
92359694,1,,Baseline
95359802,1,,Baseline
83009883,1,,Baseline
96049681,1,,Baseline
16819969,7.42E-186,,Baseline
42509936,1,,Baseline
30249862,2.48E-40,,Baseline
62099804,1,,Baseline
79629558,1,,Baseline
39389734,1,,Baseline
46529820,6.56E-23,,Baseline
30079766,1,,Baseline
23779821,4.55E-258,,Baseline
73159551,1,,Baseline
87319727,1,,Baseline
40859733,1,,Baseline
29269931,1,,Baseline
14159599,1.22E-20,,Baseline
40429901,1.89E-136,,Baseline
50579949,8.54E-177,,Baseline
68919783,1,,Baseline
87729888,0,,Baseline
26389911,1,,Baseline
35429973,1,,Baseline
38399997,1,,Baseline
57789982,1,,Baseline
93149872,1,,Baseline
42959986,1,,Baseline
28149981,1,,Baseline
31829841,1,,Baseline
33639918,9.14E-110,,Baseline
69029593,1,,Baseline
72029993,1,,Baseline
74569796,1,,Baseline
70239993,1,,Baseline
72049829,1,,Baseline
84369903,8.69E-42,,Baseline
85169864,1,,Baseline
5399819,0,,Baseline
63329930,1,,Baseline
80479935,1,,Baseline
83599655,0,,Baseline
89639877,1,,Baseline
10679950,0,,Baseline
11409631,1,,Baseline
15089542,1,,Baseline
48119887,1.38E-71,,Baseline
50739844,0.293687164,,Baseline
61899950,1,,Baseline
62719735,1.83E-283,,Baseline
67569923,1,,Baseline
93959956,1.92E-12,,Baseline
20299846,1,,Baseline
48979636,3.16E-266,,Baseline
86129543,3.54E-270,,Baseline
1899550,1,,Baseline
83889800,1,,Baseline
28199766,1,,Baseline
12269588,0,,Baseline
94859847,1,,Baseline
44229986,1,,Baseline
1369928,1,,Baseline
4719570,1,,Baseline
10709970,5.72E-300,,Baseline
96259757,8.69E-122,,Baseline
41389536,1,,Baseline
64819730,9.42E-147,,Baseline
85079513,1.16E-257,,Baseline
5429986,1,,Baseline
92399624,1,,Baseline
32619707,1.46E-153,,Baseline
90559547,1.08E-187,,Baseline
79959979,0,,Baseline
56239722,1,,Baseline
7359979,1,,Baseline
59079912,1.06E-277,,Baseline
15199829,1,,Baseline
18539776,1.55E-40,,Baseline
44389790,1,,Baseline
75949785,1,,Baseline
99439787,1,,Baseline
41699814,1,,Baseline
51489755,1,,Baseline
98249652,5.75E-175,,Baseline
99559843,1,,Baseline
